date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:20	166/166	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Mar%202022%2004:58:21%20GMT	http://asddsa23.itch.io/dont-dive-deep	C:/Benim%20Web%20Sitem/sa/asddsa23.itch.io/dont-dive-deep.0.delayed	(from )
07:58:22	25306/25306	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2004:58:22%20GMT	https://asddsa23.itch.io/dont-dive-deep	C:/Benim%20Web%20Sitem/sa/asddsa23.itch.io/dont-dive-deep.html	(from )
07:58:22	190/190	---M--	200	added ('OK')	text/plain	etag:%225cd233aa-be%22	https://asddsa23.itch.io/robots.txt		(from )
07:58:22	946/946	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:24%20GMT	https://img.itch.zone/aW1nLzg0MzM2MzMuanBn/32x32%23/jQcVDJ.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1nLzg0MzM2MzMuanBn/32x32#/jQcVDJ.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:30	165037/165037	---MCZ	200	added ('OK')	text/css	etag:W/%22622f9c2f-284ad%22	https://static.itch.io/game.css?1647482983	C:/Benim%20Web%20Sitem/sa/static.itch.io/gamedc17.css	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:31	125469/125469	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261d8a089-1ea1d%22	https://static.itch.io/lib.js?1647482983	C:/Benim%20Web%20Sitem/sa/static.itch.io/libdc17.js	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:32	203120/203120	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262204aba-31970%22	https://static.itch.io/bundle.min.js?1647482983	C:/Benim%20Web%20Sitem/sa/static.itch.io/bundle.mindc17.js	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:32	23081/23081	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260414303-5a29%22	https://static.itch.io/lib/jquery.maskMoney.js	C:/Benim%20Web%20Sitem/sa/static.itch.io/lib/jquery.maskMoney.js	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:44	125007/125007	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262204aba-1e84f%22	https://static.itch.io/game.min.js?1647482983	C:/Benim%20Web%20Sitem/sa/static.itch.io/game.mindc17.js	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:45	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/Benim%20Web%20Sitem/sa/www.google-analytics.com/analytics.js	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:51	172645/172645	---M--	200	added ('OK')	image/png	etag:%226173a4db-2a265%22	https://cdn.akamai.steamstatic.com/steam/apps/1624020/extras/infoplayer.png?t=1640069130	C:/Benim%20Web%20Sitem/sa/cdn.akamai.steamstatic.com/steam/apps/1624020/extras/infoplayer3f1a.png	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:51	227106/227106	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:38%20GMT	https://img.itch.zone/aW1nLzg0MzM2NTguanBn/original/FKAMjf.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1nLzg0MzM2NTguanBn/original/FKAMjf.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:51	241150/241150	---M--	200	added ('OK')	image/png	etag:%226173a6da-3adfe%22	https://cdn.akamai.steamstatic.com/steam/apps/1624020/extras/infoAve.png?t=1640069130	C:/Benim%20Web%20Sitem/sa/cdn.akamai.steamstatic.com/steam/apps/1624020/extras/infoAve3f1a.png	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:53	33172/33172	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:54%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQxLmpwZw==/347x500/agNC63.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQxLmpwZw==/347x500/agNC63.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:53	17009/17009	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:54%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ0LmpwZw==/347x500/5ZfQo3.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ0LmpwZw==/347x500/5ZfQo3.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:53	272801/272801	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:54%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ0LmpwZw==/original/2kqrNM.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ0LmpwZw==/original/2kqrNM.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20Mar%202022%2004:58:54%20GMT	https://asddsa23.itch.io/	C:/Benim%20Web%20Sitem/sa/asddsa23.itch.io/index.html	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:54	25/25	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2004:58:56%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ1LmpwZw==/original/d+L8H7.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ1LmpwZw==/original/d+L8H7.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:55	11002/11002	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:56%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ1LmpwZw==/347x500/NLs9iF.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ1LmpwZw==/347x500/NLs9iF.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:58:55	252738/252738	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:58:56%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ3LmpwZw==/original/mCATqg.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQ3LmpwZw==/original/mCATqg.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
